"card_name","scrape_date","cur_price","brand","shipping"
"EVGA GeForce GTX 1050 FTW GAMING ACX 3.0, 02G-P4-6157-KR, 2GB GDDR5, DX12 OSD Support (PXOC)",2017-06-27 08:31:03,"139","EVGA","$3.99"
"GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050OC-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2017-06-27 08:31:03,"119","GIGABYTE","$3.99"
"GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2017-06-27 08:31:03,"159","GIGABYTE","$4.99"
"GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards",2017-06-27 08:31:03,"139","GIGABYTE","$4.99"
"EVGA GeForce GTX 1080 Ti SC2 HYBRID GAMING, 11G-P4-6598-KR, 11GB GDDR5X, HYBRID & LED, iCX Technology - 9 Thermal Sensors",2017-06-27 08:31:03,"809","EVGA","$4.99"
"MSI GeForce GTX 1050 DirectX 12 GTX 1050 2G OC 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card",2017-06-27 08:31:03,"103","MSI","$4.99"
"GIGABYTE Radeon RX 460 WINDFORCE OC 2GB GV-RX460WF2OC-2GD",2017-06-27 08:31:03,"109","GIGABYTE","$3.99"
"MSI GeForce GTX 1080 Ti FE DirectX 12 GTX 1080 Ti Founders Edition 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card",2017-06-27 08:31:03,"699","MSI","$5.92"
"SAPPHIRE Radeon RX 460 DirectX 12 100409-2GOC-2L 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards",2017-06-27 08:31:03,"99","Sapphire Tech","$3.99"
"SAPPHIRE Radeon RX 560 DirectX 12 100413P2GOCL 2GB 128-Bit GDDR5 Video Card",2017-06-27 08:31:03,"109","Sapphire Tech","$3.99"
"GIGABYTE Radeon RX 550 DirectX 12 GV-RX550D5-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2017-06-27 08:31:03,"84","GIGABYTE","$3.99"
"VisionTek Radeon RX 560 DirectX 12 900962 2GB 128-Bit GDDR5 PCI Express x16 Video Card",2017-06-27 08:31:03,"119","VisionTek","$3.99"
"EVGA GeForce 8400 GS DirectX 10 512-P3-1301-KR 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card",2017-06-27 08:31:03,"29","EVGA","$3.99"
"PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card",2017-06-27 08:31:03,"154","PNY Technologies, Inc.","$4.99"
"GIGABYTE GeForce GTX 750Ti 4GB WINDFORCE 2X OC EDITION",2017-06-27 08:31:03,"114","GIGABYTE","$3.99"
"PNY GeForce GT 730 DirectX 12 (feature 11_0) VCGGT7301D5LXPB 1GB 64-Bit GDDR5 PCI Express 2.0 Low Profile Ready Video Card",2017-06-27 08:31:03,"64","PNY Technologies, Inc.","$2.99"
"PNY GeForce GTX 950 Graphic Card - 1.02 GHz Core - 1.19 GHz Boost Clock - 2 GB GDDR5 - PCI Express 3.0 x16",2017-06-27 08:31:03,"109","PNY Technologies, Inc.","$3.99"
"EVGA GeForce GT 1030 SC, 02G-P4-6333-KR, 2GB GDDR5, Low Profile",2017-06-27 08:31:03,"79","EVGA","$3.99"
